text,label
#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53,profane
Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC https://t.co/ELvq7PAuY9,profane
@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD,profane
@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐,profane
This is everything. #fucktrump https://t.co/e2C48U3pss,profane
Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf,profane
"I love this bill, I think they should start printing them #FuckTrump https://t.co/NY9CuyivGl",profane
So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp,profane
"@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterallyLindsey",profane
@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡,profane
"😅😂🤣🤣    LMAO at the shoe-lifts, girdle-butt stance.  Pathetic.    But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 https://t.co/1IhAUsvqnx",profane
Fck the US tho and #fucktrump https://t.co/Wyc6RQW02x,profane
Trump doesn’t know what the Hell he is talking about!!!!    He can’t help but spew B*llshit!!!   He’s a Disgrace &amp; 2020 can not get here fast enough!    #FuckfaceVonClownstick #fucktrump #LockTrumpUp #ImpeachTheMF #ImpeachTheMFTraitor https://t.co/vUdyQ5iEhk,profane
"@AdityaRajKaul Dukarr 🐷🐽🇵🇰 Mullah's drying for business deals with 🇮🇳🕉️ Bloody beggar's Allah ke naam de de, Chalo 🍅🍅 tamatar toh dedo !! 😂😂😂 #INDvPAK #CWC19  #ModiJiSeMilnaHai #FridayMotivation #ModiSurgicalSnub #ModiGlobalPower #ImranKhan #cwc11 #imranhataomulkbachao",profane
Some of the GOP in Congress I find utterly disgusting. It’s almost impossible to listen to them try to justify fucked up trump. It’s really disheartening #FuckTrump #FuckTheGOP,profane
"The great thing about all the Nazis, right wingers, alt right types and the rest of the fascist maggots on Twitter is this: you can BLOCK them and UNFOLLOW them. It’s really makes me happy not to deal with or see their bullshit #fucktrump https://t.co/THhdCfKVEQ",profane
@robreiner He is so fucking stupid. #FuckTrump,profane
"@snb19692 @suehard @ElspethElspeth @jane_janekeane @LisatheSimpson You do know that #Dickhead. alias Steve Bray, is making a fortune off of crowd funding ?",profane
"Fuck me, do we really want the idiot @BorisJohnson in charge of the country when he can’t even function as a mayor? #inepttoryparty #generalelectionow #torysout #BorisJohnsonShouldNotBePM https://t.co/hKacQXhxYC",profane
"innocent people, especially those in a drastically higher power bracket, DO NOT PAY! let's face it: #bryansinger is a fucking #RAPIST hollywood has enabled him to prey on young men for DECADES #rapeculture hope karma comes for him and his enablers https://t.co/5S2HKuXeZK",profane
Don’t think #Celtics and #NBA beat writers understand that the fans don’t want Kyrie back and didn’t want to trade the world for a one year rental. Davis going to LA with them giving up major haul is a sign of relief for Celtics fans #Dickhead,profane
"The way things are going, @stormzy ‘s line ‘F*ck the government and F*ck Boris’ is more relevant than ever! 😩🤣 #BorisJohnsonShouldNotBePM",profane
@BradKemsley Cheers for the unblock to tweet that... You’re a dickhead as well 👍🏼👍🏼👍🏼... #Dickhead,profane
@stonecold2050 Keeping it all in the fucked-up family.  #fucktrump  #fuckallthetrumps,profane
Because this administration isn’t already doing enough to kill things beautiful and pure to diminish this planet. Fuck you @realDonaldTrump #FuckTrump https://t.co/cmMyalF4lT,profane
@MusiicTown @ShivaniPatel23 @AmaalMallik Change your name to 'Amaal-Armaan' fanpage  Begging attention from their school going fans to get RT's and followers lol    Chutiya samajh rakha hai logo ko?  #Douchebag,profane
@thephotoist Sick motherfuckers! &amp; #FuckTrump,profane
"If I try to support you, but you just be an ass in return, then fuck you anyways. because I don't like asses regardless of who they are. also #AbolishIce #fuckTrump",profane
"Seriously, can we just get rid of this dumbass already??  What does this pos have to do before we impeach his ass and see him off to prison??  #FuckTrump #TrumpIsADumbass #NotMyPresident https://t.co/N2oqsWgVe6",profane
Just watched this guy spray the crap from his curb to the curb of his next door neighbor.   #DickHead,profane
@MathiasCormann But #LNP have a 'mandate'? #dickhead,profane
Holy Sh*t between @LewisHamilton and @MBrundleF1 I don’t know who is the bigger #douchebag #CanadaGP,profane
@realDonaldTrump Resign now motherfucker! #IllegitimatePresident #DouchebagDonnie #shitgibbon #pedophile #rapist,profane
@KimKardashian #trump2020 #fucktrump  Maybe you can hire the ex cons to perform with you in your sex tape enterprises.    Dog Vomit Trump and his porn star presidency.  Horseshit. https://t.co/qKHEfvp5qQ,profane
@brianstelter @OANN I went looking for dickheads this weekend and I found you.  #douchebag,profane
"A lip reader has reported what Trump was saying to #theQueen - 'In fact, your Royal Majestyness. Mine has been confirmed by historians to be the biggest dick of all the American presidents. True, the biggest &amp; the best...'. #POTUS #Trump #dickhead #Diplomacy https://t.co/D8RK6hPqmX",profane
"Fifteen AGs slam Trump move to limit federal authority under Clean Water Act https://t.co/77ey0b1CqD    Trumperrhoids like their swamp deep dirty and toxic.  If you are downstream from a Trumperrhoid, fuck off, they don't care.    #fucktrump #trump2020",profane
Seriously what the fuck is up this his hair line that shit is disgusting I hate this motherfucker #fucktrump #ImpeachTrump #trumparacist #hishairlinesucks https://t.co/uJ27ePDmIe,profane
"Well I would Rory but my MP is anne-marie trevelyan, the opportunistic bitch that is running the fuckwit's campaign.  What would you suggest I do now? #BorisJohnsonShouldNotBePM   Some good will come of it though.  The tories are finished... https://t.co/KCQ0eF3xhP",profane
i screamed into the void listening to Maddow this morning and the clips of that asshat saying he would gladly take foreign help. like we don't already know. so yeah. i'm fucking angry too. we're all angry. and we fucking should be.     #FuckTrump https://t.co/R4bfOiEHws,profane
"@realDonaldTrump 🙄🤮🖕🏻Fuck you.  YOU are the reason this bill was delayed for so long, because YOU did not want to give Puerto Rico any more help. #Asshole.  #fucktrump #impeach46 #assbanana",profane
Tommy is spot on I didn't think he had it in him also fuck off curtis #dickhead #LoveIsland,profane
#fucktrump and fuck all his racist supporters too!! https://t.co/XwtycvxMIT,profane
What a fucking idiotic thing to do! Threaten proper journalists for supposedly being biased while working for one of the worst disinformation newspapers around! #Dickhead https://t.co/kP77Mv931Z,profane
.@derekobrienmp   Quizmaster... A quiz for you.  Ask your moronic boss to solve n behave  @PMOIndia  @timesofindia  #DoctorsFightBack   #Kolkata  @AITCofficial  #India https://t.co/bP6f9lSNy8,profane
@RoArquette I feel the same way - if you support this corruption and cruelty F off forever! #FuckTrump,profane
#ToryLeadershipDebate Brexit #Brexit Boris Johnson #borisjohnson #BorisJohnsonShouldNotBePM #Boris    When will Bullshit Boris be allowed to open his mouth and derail his campaign?,profane
@ArunSFan @RahulGandhi Moron.. Wen u will talk about India.. And not restrict u r self to a party.. Think beyond party.. Think beyond congress.. Think for poor people. Think for.. Developing India.. U #@#@#.. #congressmuktbharat,profane
"@GOP @realDonaldTrump Great, I've gotten several tickets to your show. I then wipped my ass with them and burnt them.  #fucktrump",profane
@toadmeister looking desperately for that attention he craves #fuckoff #shitbag #dickhead https://t.co/4VvP8FuZH7 https://t.co/JQ81mdY9Xz,profane
How does a piece of shit like @TheRealOJ32 have followers? #OJSimpson #MURDERER,profane
"Listening to #DerangedDonald go off on Germany, bitching about the Iran deal, making shit up about Venezuela, and how he’s always right. How in the living fuck did we get into this mess? #FuckTrump",profane
@flyaway_k Unbelievable. Our government actually wants you to let people die. I fucking despise trump and the crime syndicate Republican Party. It’s all just sickening! #FuckTrump #FuckTheGOP #onMyThirdBeer,profane
@TheRealOJ32 I am so happy to have this opportunity to tell you what a mephitic shitrendous soulless ball sac you are.  #MURDERER,profane
"Totally washed out due to that rain reason. U r fucking guys  y u r keeping this world cup in England ... I know It's a developed country , but for sports full of unhappiness..So go and sit in the room and watching Tv that's the only work u r always doing #ShameOnICC mother fuck",profane
Fuck Trump. #fucktrump https://t.co/e47mFepfSO,profane
#ISupportSarabjeetSingh and yeah #FuckDelhiPolice 🖕,profane
