text,label
<USER> taurus never bitter at an ex false i hope you all burn in hell,vulgar
welcome back kotter is a damn fine song,vulgar
oh hell no another jury summons time to help the oppressed stick it to the man,vulgar
i could cut a bitch right now tbh im so fuckin done,vulgar
just busted the shit outta my knee tryna rush and get to this school,vulgar
<USER> device hell yeah come to find out david was in town last night...and around the corner i guess just passing through,vulgar
dick cheney poisoned hundreds of us troops in iraq  they're dying  and the media is silent <URL>,vulgar
81 tidioute coon skinner pocket knife in ebony wood <URL>,vulgar
convinced twitter is contributing to my adult adhd flareup too damn much information crazylife,vulgar
boy for a guy that doesn't even start eli carter sure is an arrogant a-hole. an early hard foul would've settled him down next time pitt,vulgar
bouta shut this nigga all the way down,vulgar
<USER> at least you found it and who better the dick van dyke to take care of it ,vulgar
we go to all the same parties and you don't know my name it's probably cuz i never won a damn football game shesdope,vulgar
<USER> <USER> or a whore house,vulgar
oh hello random ass dude knocking on my door sketch,vulgar
the great punta worsewrestlers,vulgar
oh shit guys a republican just said we need regulation endtimes,vulgar
i mutha fuckin knew he was gonna flip the script too bad i was prepared,vulgar
alright american beauty show get ready for this car full of shit shows,vulgar
<USER> <USER> the one time i'm not in san diego this shit happens i wish i was there,vulgar
gotta download all my porn to my phone before this net neutrality shit come cause i refuse to pay  boy y'all imag <URL>,vulgar
random musings at 3 am aren't exactly what my kids are hoping i'll tweet but what the hell can't have them the only ones confused,vulgar
hey bitch ambrose is your world champion <URL>,vulgar
things change so quickly  its like ok  i know what ima do  wait  what what just happen?....o well fuck my plan then,vulgar
i liked a <USER> video <URL> between heaven amp hell  official,vulgar
<USER>  see this is why i miss being on a message board with you you've always showed me shit i never kn <URL>,vulgar
disgusted now that we'll have to hear about tom brady every damn day again the nfl is a joke,vulgar
<USER> <USER> i'm too nice  i'm a pussy,vulgar
i sure as hell hope you don't teach the same way you coach especially the way you failed to coach me,vulgar
damn rip justin wilson indycar,vulgar
science it works bitches <URL>,vulgar
and yet another departs the iq45 already dina powell deputy national security adviser to depart trump white ho <URL>,vulgar
it's a shitty feeling realizing one of your best friends is actually a shitty friend  i trusted u again man,vulgar
since when did we have to wear skirts amp bikinis to sell food do you really think they will buy more food if my ass is hanging out ugh,vulgar
i liked a <USER> video <URL> shitty policeman,vulgar
damn meredith,vulgar
<USER> mind fuck,vulgar
being so much of an ass with your team down four runs that you cause the benches to clear totalcubsmove,vulgar
<USER> omg there's so much shit just in this little snippet my brain asplode,vulgar
time to get my shit together,vulgar
hell to the yes <USER> grammys,vulgar
<USER> <USER> don't even know what to say except special place in hell,vulgar
fuck niggers,vulgar
do you have frugal fatigue created by dick outcalt grinchless in seattle is my latest seattle business article <URL>,vulgar
looks like this week's main episode is stuck in youtube processing hell,vulgar
piss off wanker,vulgar
<USER> i look forward to watching you race bad ass so thanku,vulgar
<USER> thanks i don't think dopey and shit head would appreciate something so nice,vulgar
<USER> only one ass grab id be doing it all day,vulgar
<USER> this is also true i shouldnt pick a fight bc honestly i eat like shit frozen pizza and subway is like <URL>,vulgar
i added a video to a <USER> playlist <URL> fergie  london bridge oh shit hq,vulgar
okay i need to come out about this even tho lots have said this already but i need to let it out i fucking c <URL>,vulgar
<USER> i think you mean sexy fierce bitch,vulgar
so i felt like the biggest asshole u_u,vulgar
10 pieces of no bullshit advice for entrepreneurs <URL>,vulgar
what the hell is wrong with america who in their right mind would send moises home sytycd,vulgar
